#
# Stack-C# In Degree. G(179447, 502798). 12402 (0.0691) nodes with in-deg > avg deg (5.6), 6528 (0.0364) with >2*avg.deg (Sat May 21 19:59:55 2016)
#
# In-degree	Count
0	95564
1	49744
2	11026
3	5300
4	3273
5	2138
6	1628
7	1291
8	1025
9	757
10	638
11	535
12	506
13	428
14	413
15	332
16	278
17	268
18	253
19	195
20	165
21	171
22	131
23	141
24	154
25	141
26	119
27	104
28	91
29	90
30	94
31	101
32	73
33	80
34	72
35	68
36	61
37	67
38	62
39	44
40	56
41	46
42	41
43	47
44	45
45	43
46	43
47	32
48	35
49	30
50	30
51	34
52	21
53	26
54	31
55	25
56	29
57	27
58	28
59	24
60	21
61	27
62	19
63	19
64	17
65	15
66	19
67	15
68	19
69	14
70	18
71	17
72	18
73	12
74	14
75	11
76	12
77	16
78	12
79	15
80	15
81	13
82	8
83	12
84	11
85	8
86	8
87	5
88	8
89	10
90	11
91	6
92	7
93	8
94	10
95	5
96	12
97	7
98	12
99	11
100	13
101	5
102	6
103	8
104	5
105	7
106	8
107	4
108	6
109	6
110	3
111	7
112	6
113	7
114	3
115	7
116	4
117	7
118	6
119	3
120	6
121	9
122	5
123	5
124	7
125	6
126	7
127	4
128	7
129	5
130	2
131	2
132	6
133	5
134	1
135	4
136	4
137	6
138	1
139	5
140	6
141	2
142	1
143	4
144	4
145	5
146	3
147	2
148	5
149	1
150	6
151	3
152	3
153	4
154	3
155	4
156	3
157	3
158	3
159	5
160	1
161	2
162	3
163	1
164	2
165	3
166	2
167	5
168	4
169	3
170	5
173	2
174	1
175	1
176	1
177	2
178	1
180	2
182	2
183	2
184	2
185	1
186	4
187	1
189	2
190	1
191	4
192	3
193	2
194	3
195	2
196	1
197	3
198	3
199	1
200	4
201	3
202	2
204	2
205	2
206	1
207	3
208	3
209	1
211	2
212	2
213	2
214	1
215	1
216	1
217	3
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
227	3
228	2
229	2
230	1
231	1
232	1
233	2
234	3
235	1
236	1
238	1
239	1
241	3
242	2
243	2
244	1
245	1
247	3
248	1
251	1
252	1
254	1
256	1
257	3
258	1
260	2
261	1
263	2
264	3
265	1
266	1
267	1
269	1
270	1
272	3
276	1
278	1
284	2
285	1
286	1
288	1
289	1
290	2
293	1
294	2
297	2
299	2
300	1
302	1
309	1
310	1
312	2
314	2
316	4
317	1
319	1
320	1
321	1
323	1
324	1
328	1
330	1
332	2
333	2
334	1
338	1
341	1
344	1
345	1
358	2
359	1
361	1
366	2
370	1
377	1
379	2
381	1
383	1
387	1
389	1
390	1
396	1
401	1
402	1
403	2
409	1
418	2
420	1
424	1
431	1
438	1
443	1
445	1
446	1
448	1
449	1
452	1
453	1
454	1
468	1
470	1
480	1
489	2
491	1
498	1
501	1
504	1
508	1
512	1
514	1
525	1
532	1
533	1
544	1
547	1
549	1
551	2
566	1
572	1
576	1
586	1
604	1
625	1
626	1
631	1
632	1
639	1
643	1
665	2
668	1
670	1
701	1
730	1
733	1
748	1
762	1
781	1
784	1
805	1
811	1
837	1
875	1
887	1
895	1
923	1
951	1
977	1
1003	1
1009	1
1043	1
1044	1
1063	1
1091	1
1093	1
1215	1
1259	1
1346	1
1409	1
1431	1
1523	1
1708	1
2059	1
2123	1
2325	1
3023	1
3866	1
4405	1
8315	1
