#
# Stack-C# Out Degree. G(179447, 502798). 19033 (0.1061) nodes with out-deg > avg deg (5.6), 7496 (0.0418) with >2*avg.deg (Sat May 21 19:59:56 2016)
#
# Out-degree	Count
0	34265
1	76894
2	24794
3	12230
4	7514
5	4717
6	3362
7	2499
8	1975
9	1502
10	1229
11	970
12	820
13	695
14	548
15	536
16	422
17	395
18	319
19	304
20	265
21	231
22	205
23	209
24	172
25	146
26	165
27	144
28	103
29	96
30	97
31	102
32	89
33	83
34	62
35	51
36	71
37	57
38	48
39	41
40	53
41	50
42	40
43	39
44	34
45	37
46	32
47	26
48	28
49	21
50	23
51	28
52	22
53	23
54	19
55	14
56	14
57	19
58	19
59	14
60	13
61	14
62	20
63	15
64	15
65	10
66	14
67	13
68	11
69	17
70	8
71	12
72	6
73	8
74	13
75	10
76	7
77	2
78	6
79	5
80	3
81	7
82	7
83	3
84	5
85	6
86	6
87	5
88	5
89	7
90	6
91	5
92	1
93	7
94	6
95	3
96	3
97	1
98	5
99	2
100	7
101	6
102	3
103	3
104	3
106	2
107	6
108	1
109	4
110	4
111	3
112	1
113	2
114	1
115	2
116	3
117	3
118	2
119	2
120	2
121	5
122	4
123	4
124	2
125	2
126	1
127	1
128	4
130	1
131	3
132	2
133	1
134	1
135	1
139	1
140	1
141	2
142	2
143	1
145	1
146	1
148	1
150	1
154	1
155	1
157	1
158	2
159	2
161	1
162	1
164	1
166	1
167	1
168	1
170	1
171	2
173	1
176	1
178	1
179	1
180	1
181	1
182	2
185	1
186	2
188	1
189	2
195	1
199	2
202	1
203	1
212	2
222	1
229	2
232	1
234	1
235	1
248	1
266	2
286	1
289	1
406	1
552	1
