#
# Stack-java Out Degree. G(237860, 510258). 22930 (0.0964) nodes with out-deg > avg deg (4.3), 9250 (0.0389) with >2*avg.deg (Wed Jun 22 13:49:29 2016)
#
# Out-degree	Count
0	47327
1	110666
2	33000
3	15341
4	8596
5	5437
6	3689
7	2671
8	1883
9	1497
10	1142
11	887
12	716
13	590
14	541
15	395
16	378
17	291
18	235
19	227
20	221
21	194
22	157
23	148
24	114
25	109
26	105
27	85
28	83
29	76
30	58
31	66
32	52
33	51
34	56
35	45
36	30
37	34
38	39
39	29
40	39
41	23
42	29
43	32
44	27
45	28
46	19
47	16
48	21
49	17
50	12
51	13
52	11
53	10
54	13
55	12
56	8
57	10
58	6
59	11
60	11
61	7
62	9
63	7
64	12
65	8
66	4
67	4
68	7
69	3
70	3
71	5
72	2
73	3
74	5
75	2
76	2
77	11
78	4
79	5
80	4
81	4
82	3
83	6
84	3
85	8
86	1
87	4
88	2
89	4
90	6
91	4
92	3
93	1
95	2
96	1
97	1
98	1
100	2
101	5
102	1
103	2
104	2
106	1
107	2
108	1
110	1
111	2
113	1
114	1
116	2
117	2
119	1
124	1
125	1
126	2
127	1
128	1
129	1
135	1
136	1
138	1
139	1
140	1
141	1
143	1
144	1
146	1
147	3
150	1
151	1
153	1
154	1
155	1
156	1
164	1
168	1
173	2
175	1
176	1
177	1
189	3
193	1
199	1
205	1
206	1
210	1
229	1
354	1
468	1
553	1
