#
# Stack-java In Degree. G(237860, 510258). 14975 (0.0630) nodes with in-deg > avg deg (4.3), 8428 (0.0354) with >2*avg.deg (Sat May 21 20:19:49 2016)
#
# In-degree	Count
0	137783
1	61516
2	13651
3	6254
4	3681
5	2375
6	1786
7	1327
8	1059
9	845
10	692
11	551
12	529
13	461
14	361
15	318
16	280
17	272
18	218
19	201
20	206
21	165
22	176
23	147
24	135
25	108
26	107
27	113
28	89
29	99
30	113
31	84
32	75
33	65
34	71
35	81
36	60
37	62
38	54
39	52
40	48
41	46
42	45
43	43
44	46
45	33
46	30
47	24
48	44
49	36
50	34
51	34
52	25
53	17
54	25
55	18
56	22
57	31
58	15
59	25
60	30
61	11
62	9
63	16
64	14
65	13
66	15
67	12
68	14
69	11
70	15
71	15
72	17
73	19
74	14
75	15
76	10
77	14
78	14
79	10
80	13
81	12
82	10
83	11
84	9
85	9
86	12
87	11
88	9
89	6
90	6
91	9
92	15
93	7
94	10
95	9
96	8
97	6
98	8
99	8
100	8
101	3
102	8
103	3
104	3
105	10
106	3
107	4
108	6
109	7
110	7
111	6
112	5
113	4
114	8
115	2
116	7
117	6
118	7
119	7
120	1
121	4
122	4
123	3
124	6
125	3
126	2
127	4
128	11
129	3
130	6
131	2
132	3
133	1
134	1
135	6
136	3
137	1
138	4
139	7
141	7
142	4
143	3
144	3
145	3
147	3
148	3
149	2
150	4
152	1
154	3
155	3
156	4
157	3
158	2
159	1
160	3
163	4
164	1
165	4
166	2
167	1
169	2
170	3
171	1
173	5
174	1
175	3
176	4
177	1
178	2
180	2
181	1
182	2
183	2
185	4
186	1
187	2
188	1
189	2
190	1
191	1
195	2
196	3
197	2
198	4
199	2
200	1
202	1
205	1
206	2
207	1
208	2
210	1
211	2
213	1
214	3
216	1
217	2
218	1
220	3
224	1
226	1
227	1
228	1
230	1
231	2
232	1
233	2
234	2
235	1
236	3
237	2
239	1
240	2
243	1
244	2
246	1
250	2
251	1
253	1
258	1
259	1
260	1
263	2
265	1
267	2
271	2
276	1
277	2
279	2
280	2
284	1
285	1
288	1
290	2
291	1
292	2
295	4
297	1
298	1
299	1
301	1
303	1
305	2
307	1
310	2
316	1
321	1
331	2
335	1
338	2
340	1
341	2
343	1
345	1
346	1
347	2
350	1
351	2
352	1
353	1
361	1
362	2
363	1
365	2
366	1
368	1
369	1
371	1
372	1
373	1
374	1
375	1
376	2
379	1
382	2
389	1
393	1
397	1
398	1
401	1
403	1
405	1
418	1
419	1
421	1
427	1
442	1
448	1
450	1
451	1
476	1
482	1
486	1
489	1
492	1
497	1
503	1
504	1
521	2
535	2
542	1
558	1
559	1
563	1
569	1
570	1
605	1
606	1
610	1
630	1
643	1
655	1
670	1
686	1
687	1
709	1
711	1
716	1
734	1
769	1
781	1
795	1
815	1
851	1
855	1
867	1
894	1
897	1
929	1
935	1
942	1
964	1
1006	1
1007	1
1009	1
1034	1
1090	1
1134	1
1191	1
1261	1
1329	1
1367	1
1415	1
1442	1
1468	1
1482	1
1518	1
1702	1
1954	1
1989	1
2315	1
2691	1
2836	1
2982	1
3092	1
3507	1
3646	1
4900	1
