#
# Stack-php In Degree. G(213709, 458006). 15291 (0.0716) nodes with in-deg > avg deg (4.3), 8270 (0.0387) with >2*avg.deg (Sat May 21 20:06:54 2016)
#
# In-degree	Count
0	117774
1	57120
2	13236
3	6394
4	3894
5	2653
6	1848
7	1413
8	1107
9	870
10	751
11	592
12	468
13	441
14	375
15	322
16	325
17	212
18	227
19	216
20	170
21	184
22	170
23	152
24	151
25	128
26	101
27	105
28	84
29	70
30	80
31	82
32	84
33	54
34	59
35	64
36	52
37	60
38	54
39	54
40	44
41	41
42	34
43	41
44	41
45	33
46	34
47	26
48	28
49	32
50	34
51	28
52	25
53	28
54	28
55	21
56	21
57	28
58	19
59	27
60	17
61	22
62	22
63	13
64	18
65	15
66	17
67	17
68	14
69	9
70	16
71	12
72	16
73	12
74	3
75	9
76	9
77	11
78	8
79	13
80	7
81	11
82	6
83	13
84	8
85	7
86	8
87	7
88	7
89	7
90	6
91	7
92	8
93	3
94	13
95	2
96	11
97	6
98	4
99	8
100	11
101	6
102	9
103	5
104	10
105	7
106	4
107	4
108	5
109	8
110	1
111	5
112	3
113	5
114	3
115	3
116	6
117	8
118	5
119	2
120	3
121	3
122	4
123	7
124	7
125	3
127	1
128	3
129	3
131	1
132	3
133	2
134	5
135	1
136	6
137	5
138	5
139	2
140	3
141	4
142	7
143	1
144	5
145	5
146	2
147	1
148	2
149	6
150	3
151	4
152	1
153	2
154	1
155	5
156	1
157	2
158	5
159	2
160	2
161	1
162	1
163	2
165	2
166	2
168	4
170	3
171	1
172	1
175	2
176	2
177	1
178	2
179	1
180	3
181	2
182	3
183	1
184	3
185	3
187	1
188	4
189	4
190	3
193	1
194	2
195	1
196	2
197	1
198	1
199	1
200	2
204	1
205	1
206	1
207	1
208	2
209	1
211	1
212	1
213	1
216	6
217	1
219	1
220	1
221	3
222	2
225	1
226	1
227	2
228	1
229	1
230	1
232	2
233	3
234	1
235	2
236	2
238	1
240	2
241	1
242	3
243	1
244	2
245	2
246	1
249	2
251	2
253	1
255	1
257	1
258	1
260	1
263	1
264	1
268	1
272	2
277	1
282	2
285	1
286	1
287	2
288	1
296	1
298	2
299	1
302	1
304	1
305	3
306	1
312	1
313	1
314	1
316	1
319	1
325	1
328	1
329	1
332	1
334	2
346	1
349	1
353	2
355	2
356	1
357	1
358	1
363	1
366	1
372	1
379	1
382	1
387	2
397	1
400	1
403	1
408	1
411	1
422	1
424	1
437	1
442	1
443	2
451	1
452	1
456	1
459	1
464	1
467	1
470	1
472	1
475	1
481	1
482	1
490	1
507	1
510	1
515	1
524	1
536	1
544	1
546	1
559	1
599	1
619	1
622	1
626	1
649	1
672	1
676	1
693	2
720	1
742	1
765	1
791	1
899	1
932	1
948	1
960	1
1006	1
1014	1
1051	1
1059	1
1102	1
1158	1
1218	1
1219	1
1331	1
1407	1
1411	1
1488	1
1792	1
1982	1
2332	1
2406	1
