#
# Stack-php Out Degree. G(213709, 458006). 20552 (0.0962) nodes with out-deg > avg deg (4.3), 8630 (0.0404) with >2*avg.deg (Sat May 21 20:06:57 2016)
#
# Out-degree	Count
0	51486
1	92685
2	27994
3	13229
4	7763
5	4884
6	3090
7	2269
8	1679
9	1309
10	999
11	792
12	656
13	531
14	488
15	388
16	338
17	267
18	256
19	222
20	177
21	178
22	148
23	139
24	111
25	123
26	106
27	77
28	79
29	77
30	58
31	65
32	70
33	53
34	59
35	39
36	42
37	48
38	36
39	32
40	33
41	38
42	25
43	29
44	22
45	16
46	24
47	21
48	21
49	15
50	15
51	20
52	16
53	21
54	15
55	11
56	15
57	17
58	8
59	16
60	12
61	7
62	10
63	5
64	11
65	11
66	5
67	6
68	5
69	4
70	8
71	7
72	6
73	4
74	6
75	5
76	2
77	4
78	5
79	4
80	4
81	2
82	4
83	6
84	2
85	8
86	3
87	2
88	8
89	4
90	2
91	4
92	5
93	1
94	4
95	4
96	4
97	3
98	1
100	3
101	3
103	2
105	3
106	1
107	1
108	6
109	4
110	1
112	1
113	3
116	2
117	2
118	1
120	2
121	2
122	1
124	2
125	2
126	2
127	1
130	2
132	1
138	2
139	1
140	1
143	1
145	1
150	1
164	1
165	1
168	1
178	1
182	1
186	1
189	1
198	1
205	1
208	1
209	1
255	1
274	1
290	2
341	1
